organization,category,careers_page,verdict,reason,board
Rolls-Royce,Defense & Aerospace,https://careers.rolls-royce.com,WORKING,"fine, but JavaScript-rendered — use --browser",
Saab,Defense & Aerospace,https://www.saab.com/career,WORKING,"fine, but JavaScript-rendered — use --browser",
Saab Kockums,Defense & Aerospace,https://www.saab.com/career,WORKING,"fine, but JavaScript-rendered — use --browser",
Saab Netherlands,Defense & Aerospace,https://www.saab.com/career,WORKING,"fine, but JavaScript-rendered — use --browser",
Safran,Defense & Aerospace,https://www.safran-group.com/careers,WORKING,"403 to a script, but fine in a browser",
Safran Electronics & Defense,Defense & Aerospace,https://www.safran-group.com/careers,WORKING,"403 to a script, but fine in a browser",
Terma,Defense & Aerospace,https://www.terma.com/careers/,WORKING,"403 to a script, but fine in a browser",
Thales Belgium,Defense & Aerospace,https://careers.thalesgroup.com,WORKING,"fine, but JavaScript-rendered — use --browser",
Thales Nederland,Defense & Aerospace,https://careers.thalesgroup.com,WORKING,"fine, but JavaScript-rendered — use --browser",
WB Group,Defense & Aerospace,https://www.wbgroup.pl/en/career/,WORKING,"fine, but JavaScript-rendered — use --browser",
ACER,Institutions & Agencies,https://www.acer.europa.eu/the-agency/working-acer,BROKEN,"404 — URL is wrong, needs replacing",
ANSSI (France),Institutions & Agencies,https://cyber.gouv.fr/nous-rejoindre,WORKING,"403 to a script, but fine in a browser",
Agenzia Spaziale Italiana (ASI),Institutions & Agencies,https://www.asi.it/lavora-con-noi/,BROKEN,"404 — URL is wrong, needs replacing",
Agenzia per la Cybersicurezza Nazionale (ACN),Institutions & Agencies,https://www.acn.gov.it/portale/lavora-con-noi,WORKING,"fine, but JavaScript-rendered — use --browser",
BSI (Germany),Institutions & Agencies,https://www.bsi.bund.de/EN/Karriere,WORKING,"fine, but JavaScript-rendered — use --browser",
Banca Centrale Europea (BCE),Institutions & Agencies,https://www.ecb.europa.eu/careers/html/index.en.html,WORKING,"fine, but JavaScript-rendered — use --browser",
Banca Europea per gli Investimenti (BEI),Institutions & Agencies,https://www.eib.org/en/about/jobs/,WORKING,"fine, but JavaScript-rendered — use --browser",
CCN-CERT / CNI (Spain),Institutions & Agencies,https://www.cni.es/empleo,BROKEN,"404 — URL is wrong, needs replacing",
CEPOL,Institutions & Agencies,https://www.cepol.europa.eu/who-we-are/vacancies,BROKEN,"404 — URL is wrong, needs replacing",
CINEA,Institutions & Agencies,https://eu-careers.europa.eu,WORKING,"fine, runs on eu-careers (no connector yet)",
CNES,Institutions & Agencies,https://recrutement.cnes.fr,WORKING,"fine, but JavaScript-rendered — use --browser",
Chips Joint Undertaking,Institutions & Agencies,https://eu-careers.europa.eu,WORKING,"fine, runs on eu-careers (no connector yet)",
Clean Aviation JU,Institutions & Agencies,https://www.clean-aviation.eu/vacancies,WORKING,"fine, but JavaScript-rendered — use --browser",
Consiglio d'Europa,Institutions & Agencies,https://www.coe.int/en/web/jobs,WORKING,"403 to a script, but fine in a browser",
Consiglio dell'Unione Europea,Institutions & Agencies,https://www.consilium.europa.eu/en/general-secretariat/jobs/,WORKING,"403 to a script, but fine in a browser",
DG CNECT,Institutions & Agencies,https://eu-careers.europa.eu,WORKING,"fine, runs on eu-careers (no connector yet)",
DLR,Institutions & Agencies,https://www.dlr.de/en/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
EASA,Institutions & Agencies,https://www.easa.europa.eu/en/the-agency/careers-easa,BROKEN,"404 — URL is wrong, needs replacing",
EBA - European Banking Authority,Institutions & Agencies,https://www.eba.europa.eu/about-us/careers,WORKING,"fine, runs on eu-careers (no connector yet)",
EBRD,Institutions & Agencies,https://www.ebrd.com/careers,BROKEN,"404 — URL is wrong, needs replacing",
ECDC,Institutions & Agencies,https://www.ecdc.europa.eu/en/about-us/work-us,BROKEN,"404 — URL is wrong, needs replacing",
EDPS,Institutions & Agencies,https://www.edps.europa.eu/about-edps/recruitment_en,WORKING,"403 to a script, but fine in a browser",
EEAS - European External Action Service,Institutions & Agencies,https://www.eeas.europa.eu/eeas/vacancies_en,WORKING,"fine, runs on eu-careers (no connector yet)",
EIC - European Innovation Council,Institutions & Agencies,https://eu-careers.europa.eu,WORKING,"fine, runs on eu-careers (no connector yet)",
EIOPA,Institutions & Agencies,https://www.eiopa.europa.eu/about/careers_en,WORKING,"fine, but JavaScript-rendered — use --browser",
EISMEA,Institutions & Agencies,https://eu-careers.europa.eu,WORKING,"fine, runs on eu-careers (no connector yet)",
EIT / EIT Digital,Institutions & Agencies,https://eit.europa.eu/who-we-are/careers,BROKEN,"404 — URL is wrong, needs replacing",
EMA - European Medicines Agency,Institutions & Agencies,https://careers.ema.europa.eu,WORKING,"fine, runs on successfactors (no connector yet)",
EPO - European Patent Office,Institutions & Agencies,https://jobs.epo.org,WORKING,"fine, runs on successfactors (no connector yet)",
EPPO - European Public Prosecutor's Office,Institutions & Agencies,https://www.eppo.europa.eu/en/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
ERA - EU Agency for Railways,Institutions & Agencies,https://www.era.europa.eu/agency/recruitment_en,WORKING,"fine, but JavaScript-rendered — use --browser",
ERC - European Research Council,Institutions & Agencies,https://erc.europa.eu/about-erc/careers,WORKING,"fine, runs on eu-careers (no connector yet)",
ESM - European Stability Mechanism,Institutions & Agencies,https://www.esm.europa.eu/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
ESMA,Institutions & Agencies,https://www.esma.europa.eu/about-esma/careers,WORKING,"fine, runs on eu-careers (no connector yet)",
EUMETSAT,Institutions & Agencies,https://www.eumetsat.int/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
EuroHPC Joint Undertaking,Institutions & Agencies,https://eurohpc-ju.europa.eu/about/vacancies_en,WORKING,"fine, but JavaScript-rendered — use --browser",
Eurojust,Institutions & Agencies,https://www.eurojust.europa.eu/careers,BROKEN,"404 — URL is wrong, needs replacing",
Frontex,Institutions & Agencies,https://www.frontex.europa.eu/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Fusion for Energy (F4E),Institutions & Agencies,https://fusionforenergy.europa.eu/careers/,WORKING,"403 to a script, but fine in a browser",
HaDEA,Institutions & Agencies,https://eu-careers.europa.eu,WORKING,"fine, runs on eu-careers (no connector yet)",
IAEA,Institutions & Agencies,https://www.iaea.org/careers,WORKING,"403 to a script, but fine in a browser",
ITER Organization,Institutions & Agencies,https://www.iter.org/jobs,WORKING,"fine, but JavaScript-rendered — use --browser",
ITU,Institutions & Agencies,https://www.itu.int/en/careers,WORKING,"fine, runs on successfactors (no connector yet)",
JRC - Joint Research Centre,Institutions & Agencies,https://joint-research-centre.ec.europa.eu/working-us_en,WORKING,"fine, but JavaScript-rendered — use --browser",
Ministero della Difesa - Segretariato Generale/DNA,Institutions & Agencies,https://concorsi.difesa.it,WORKING,"fine, but JavaScript-rendered — use --browser",
NASA,Institutions & Agencies,https://www.nasa.gov/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
NATO ACT - Allied Command Transformation,Institutions & Agencies,https://www.act.nato.int/careers/,WORKING,"403 to a script, but fine in a browser",
NATO CCDCOE,Institutions & Agencies,https://ccdcoe.org/vacancies/,BROKEN,"404 — URL is wrong, needs replacing",
NATO HQ,Institutions & Agencies,https://www.nato.int/cps/en/natolive/recruit-hq-e.htm,BROKEN,"404 — URL is wrong, needs replacing",
NATO STO - Science & Technology Organization,Institutions & Agencies,https://www.sto.nato.int/Pages/vacancies.aspx,WORKING,"403 to a script, but fine in a browser",
NCSC UK,Institutions & Agencies,https://www.gchq-careers.co.uk,WORKING,"fine, but JavaScript-rendered — use --browser",
NCSC-NL,Institutions & Agencies,https://www.werkenvoornederland.nl,WORKING,"fine, but JavaScript-rendered — use --browser",
NSPA - NATO Support and Procurement Agency,Institutions & Agencies,https://www.nspa.nato.int/careers,WORKING,"403 to a script, but fine in a browser",
Nazioni Unite,Institutions & Agencies,https://careers.un.org,WORKING,"fine, but JavaScript-rendered — use --browser",
Netherlands Space Office,Institutions & Agencies,https://www.spaceoffice.nl/nl/over-nso/werken-bij-nso/,SUSPECT,timed out,
OCCAR,Institutions & Agencies,https://www.occar.int/careers,WORKING,"403 to a script, but fine in a browser",
OCSE (OECD),Institutions & Agencies,https://www.oecd.org/careers/,WORKING,"403 to a script, but fine in a browser",
OPCW,Institutions & Agencies,https://www.opcw.org/careers,BROKEN,"404 — URL is wrong, needs replacing",
OSCE,Institutions & Agencies,https://jobs.osce.org,WORKING,"fine, but JavaScript-rendered — use --browser",
Parlamento Europeo,Institutions & Agencies,https://ep-stages.gestmax.eu,WORKING,"fine, but JavaScript-rendered — use --browser",
SESAR 3 Joint Undertaking,Institutions & Agencies,https://www.sesarju.eu/vacancies,BROKEN,"404 — URL is wrong, needs replacing",
SHAPE / NATO Allied Command Operations,Institutions & Agencies,https://www.nato.int/cps/en/natolive/recruit-hq-e.htm,BROKEN,"404 — URL is wrong, needs replacing",
Sistema di Informazione per la Sicurezza (DIS/AISE/AISI),Institutions & Agencies,https://www.sicurezzanazionale.gov.it/sisr.nsf/lavora-con-noi.html,WORKING,"fine, but JavaScript-rendered — use --browser",
UK Space Agency,Institutions & Agencies,https://www.civilservicejobs.service.gov.uk,WORKING,"fine, but JavaScript-rendered — use --browser",
UNIDIR,Institutions & Agencies,https://unidir.org/vacancies/,BROKEN,"404 — URL is wrong, needs replacing",
UNOOSA,Institutions & Agencies,https://careers.un.org,WORKING,"fine, but JavaScript-rendered — use --browser",
WIPO,Institutions & Agencies,https://www.wipo.int/jobs/en/,WORKING,"fine, runs on taleo (no connector yet)",
Antler,Programs & Competitions,https://www.antler.co/apply,WORKING,"fine, but JavaScript-rendered — use --browser",
EURAXESS,Programs & Competitions,https://euraxess.ec.europa.eu/jobs/search,WORKING,"fine, but JavaScript-rendered — use --browser",
Entrepreneur First,Programs & Competitions,https://www.joinef.com/apply/,BROKEN,"404 — URL is wrong, needs replacing",
Fulbright Italia,Programs & Competitions,https://www.fulbright.it/borse-di-studio/,BROKEN,"404 — URL is wrong, needs replacing",
Marie Sklodowska-Curie Actions,Programs & Competitions,https://euraxess.ec.europa.eu/jobs,WORKING,"fine, but JavaScript-rendered — use --browser",
NATO Internship Programme,Programs & Competitions,https://www.nato.int/cps/en/natolive/71157.htm,BROKEN,"404 — URL is wrong, needs replacing",
Schwarzman Scholars,Programs & Competitions,https://www.schwarzmanscholars.org/admissions/,WORKING,"403 to a script, but fine in a browser",
Y Combinator,Programs & Competitions,https://www.ycombinator.com/apply,WORKING,"fine, but JavaScript-rendered — use --browser",
AAC Clyde Space,Space Economy,https://www.aac-clyde.space/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
ATG Europe,Space Economy,https://www.atg-europe.com/careers,BROKEN,"404 — URL is wrong, needs replacing",
Aerospacelab,Space Economy,https://www.aerospacelab.com/careers,BROKEN,"404 — URL is wrong, needs replacing",
Airbus Crisa,Space Economy,https://www.airbus.com/en/careers,WORKING,"fine, runs on workday (no connector yet)",
Alen Space,Space Economy,https://alen.space/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Alpine Space Ventures,Space Economy,https://alpinespaceventures.com,WORKING,"fine, but JavaScript-rendered — use --browser",
Argotec,Space Economy,https://www.argotec.it/careers/,SUSPECT,TLS certificate misconfigured,
ArianeGroup,Space Economy,https://www.ariane.group/en/careers/,WORKING,"fine, runs on workday (no connector yet)",
Arianespace,Space Economy,https://www.ariane.group/en/careers/,WORKING,"fine, runs on workday (no connector yet)",
Astroscale,Space Economy,https://astroscale.com/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Aurora Technology,Space Economy,https://www.aurora.nl/vacancies,BROKEN,"404 — URL is wrong, needs replacing",
Avio (Vega),Space Economy,https://www.avio.com/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Beyond Gravity (RUAG Space),Space Economy,https://www.beyondgravity.com/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Cailabs,Space Economy,https://www.cailabs.com/en/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
ClearSpace,Space Economy,https://clearspace.today/careers,BROKEN,"404 — URL is wrong, needs replacing",
Constellation Technologies & Operations,Space Economy,https://constellation.tech,BROKEN,domain did not resolve (may be local DNS overload — recheck),
Creotech Instruments,Space Economy,https://creotech.pl/en/career/,WORKING,"fine, but JavaScript-rendered — use --browser",
D-Orbit,Space Economy,https://www.dorbit.space/careers,SUSPECT,TLS certificate misconfigured,
DCubed,Space Economy,https://dcubed.space/careers,WORKING,"fine, runs on teamtailor (no connector yet)",
Dawn Aerospace,Space Economy,https://www.dawnaerospace.com/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Deimos (Elecnor),Space Economy,https://www.elecnor-deimos.com/careers/,BROKEN,"404 — URL is wrong, needs replacing",
ESA BIC (incubators),Space Economy,https://commercialisation.esa.int/startups/,WORKING,"fine, but JavaScript-rendered — use --browser",
Exotrail,Space Economy,https://exotrail.com/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Expand Capital / OTB Ventures,Space Economy,https://otb.vc,WORKING,"fine, but JavaScript-rendered — use --browser",
GomSpace,Space Economy,https://gomspace.com/careers.aspx,WORKING,"fine, but JavaScript-rendered — use --browser",
HE Space Operations,Space Economy,https://www.hespace.com/vacancies,WORKING,"fine, runs on smartrecruiters (no connector yet)",
HyImpulse,Space Economy,https://www.hyimpulse.de/en/career,BROKEN,"404 — URL is wrong, needs replacing",
Hyperion Technologies,Space Economy,https://hyperiontechnologies.nl,WORKING,"fine, but JavaScript-rendered — use --browser",
ICEYE Polska,Space Economy,https://www.iceye.com/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
ISISPACE Group,Space Economy,https://www.isispace.nl/careers/,BROKEN,"404 — URL is wrong, needs replacing",
Iceye,Space Economy,https://www.iceye.com/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Indra Space,Space Economy,https://www.indracompany.com/en/talent,BROKEN,domain did not resolve (may be local DNS overload — recheck),
Infinite Orbits,Space Economy,https://www.infiniteorbits.io/careers,BROKEN,"404 — URL is wrong, needs replacing",
Intelsat,Space Economy,https://www.intelsat.com/careers/,BROKEN,"404 — URL is wrong, needs replacing",
Isar Aerospace,Space Economy,https://www.isaraerospace.com/careers,BROKEN,"404 — URL is wrong, needs replacing",
KP Labs,Space Economy,https://kplabs.space/careers/,BROKEN,"404 — URL is wrong, needs replacing",
Karman+,Space Economy,https://karmanplus.com,WORKING,"fine, but JavaScript-rendered — use --browser",
Kayhan Space,Space Economy,https://kayhan.space/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Kineis,Space Economy,https://www.kineis.com/en/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
LSE Space (ATG Group),Space Economy,https://www.lsespace.com/careers/,BROKEN,"404 — URL is wrong, needs replacing",
Latitude,Space Economy,https://www.latitude.eu/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Leaf Space,Space Economy,https://leaf.space/careers/,WORKING,"fine, runs on teamtailor (no connector yet)",
Leanspace,Space Economy,https://www.leanspace.io/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Loft Orbital,Space Economy,https://www.loftorbital.com/careers,WORKING,"403 to a script, but fine in a browser",
Nedaero,Space Economy,https://nedaero.com,WORKING,"fine, but JavaScript-rendered — use --browser",
Neuraspace,Space Economy,https://www.neuraspace.com/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
OHB SE,Space Economy,https://www.ohb.de/en/careers,BROKEN,"404 — URL is wrong, needs replacing",
OKAPI:Orbits,Space Economy,https://okapiorbits.com/career,BROKEN,"404 — URL is wrong, needs replacing",
Open Cosmos,Space Economy,https://www.open-cosmos.com/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Orbex,Space Economy,https://orbex.space/careers,SUSPECT,HTTP 502,
PLD Space,Space Economy,https://pldspace.com/en/careers,SUSPECT,TLS certificate misconfigured,
Planet Labs,Space Economy,https://www.planet.com/company/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Prometheé Earth Intelligence,Space Economy,https://www.promethee.space,BROKEN,connection refused,
Redu Space Services,Space Economy,https://www.redu-space-services.eu,BROKEN,domain did not resolve (may be local DNS overload — recheck),
Redwire Space Europe,Space Economy,https://redwirespace.com/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Reflex Aerospace,Space Economy,https://reflexaerospace.com/careers,WORKING,"fine, runs on personio (no connector yet)",
Rocket Factory Augsburg (RFA),Space Economy,https://www.rfa.space/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
SENER Aeroespacial,Space Economy,https://www.grupo.sener/careers/,BROKEN,domain did not resolve (may be local DNS overload — recheck),
Sateliot,Space Economy,https://sateliot.space/careers/,BROKEN,"404 — URL is wrong, needs replacing",
Satellogic,Space Economy,https://satellogic.com/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Scanway,Space Economy,https://scanway.space/career/,WORKING,"fine, but JavaScript-rendered — use --browser",
Science & Technology AS,Space Economy,https://www.stcorp.no/careers,BROKEN,"404 — URL is wrong, needs replacing",
Seraphim Space,Space Economy,https://seraphim.vc/careers,BROKEN,"404 — URL is wrong, needs replacing",
Serco Europe,Space Economy,https://careers.serco.com,WORKING,"fine, but JavaScript-rendered — use --browser",
Share My Space,Space Economy,https://www.sharemyspace.space,BROKEN,domain did not resolve (may be local DNS overload — recheck),
Sidereus Space Dynamics,Space Economy,https://sidereus.space/careers,BROKEN,"404 — URL is wrong, needs replacing",
Skyrora,Space Economy,https://www.skyrora.com/careers,BROKEN,"404 — URL is wrong, needs replacing",
Space Applications Services,Space Economy,https://www.spaceapplications.com/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Spacebel,Space Economy,https://www.spacebel.com/jobs/,BROKEN,"404 — URL is wrong, needs replacing",
Spire Global,Space Economy,https://spire.com/careers/,WORKING,"403 to a script, but fine in a browser",
Startical,Space Economy,https://startical.com,WORKING,"fine, but JavaScript-rendered — use --browser",
Telespazio,Space Economy,https://www.telespazio.com/en/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Telespazio Germany,Space Economy,https://www.telespazio.com/en/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Tesat-Spacecom (Airbus),Space Economy,https://www.tesat.de/career,WORKING,"fine, runs on workday (no connector yet)",
Thales Alenia Space Espana,Space Economy,https://careers.thalesgroup.com,WORKING,"fine, but JavaScript-rendered — use --browser",
ThrustMe,Space Economy,https://www.thrustme.fr/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
UARX Space,Space Economy,https://uarx.com,WORKING,"fine, but JavaScript-rendered — use --browser",
Viasat,Space Economy,https://careers.viasat.com,WORKING,"fine, runs on icims (no connector yet)",
Vitrociset (Leonardo),Space Economy,https://www.leonardo.com/en/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
e-GEOS,Space Economy,https://www.e-geos.it/#/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Bruegel,Think Tank & Policy,https://www.bruegel.org/about/jobs,BROKEN,"404 — URL is wrong, needs replacing",
CEPS,Think Tank & Policy,https://www.ceps.eu/jobs/,WORKING,"403 to a script, but fine in a browser",
Carnegie Europe,Think Tank & Policy,https://carnegieendowment.org/about/employment,WORKING,"fine, but JavaScript-rendered — use --browser",
Chatham House,Think Tank & Policy,https://www.chathamhouse.org/about-us/careers,WORKING,"403 to a script, but fine in a browser",
DGAP,Think Tank & Policy,https://dgap.org/en/jobs,WORKING,"fine, but JavaScript-rendered — use --browser",
ECFR - European Council on Foreign Relations,Think Tank & Policy,https://ecfr.eu/about/jobs/,WORKING,"fine, runs on personio (no connector yet)",
Egmont Institute,Think Tank & Policy,https://www.egmontinstitute.be,WORKING,"fine, but JavaScript-rendered — use --browser",
European Cyber Conflict Research Initiative,Think Tank & Policy,https://eccri.eu,BROKEN,domain did not resolve (may be local DNS overload — recheck),
Fondation pour la Recherche Strategique,Think Tank & Policy,https://www.frstrategie.org,SUSPECT,TLS certificate misconfigured,
Fondazione Leonardo,Think Tank & Policy,https://www.fondazioneleonardo-cdm.com,WORKING,"fine, but JavaScript-rendered — use --browser",
Friends of Europe,Think Tank & Policy,https://www.friendsofeurope.org/about/careers/,BROKEN,"404 — URL is wrong, needs replacing",
GMF - German Marshall Fund,Think Tank & Policy,https://www.gmfus.org/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
IAI - Istituto Affari Internazionali,Think Tank & Policy,https://www.iai.it/it/lavora-con-noi,BROKEN,"404 — URL is wrong, needs replacing",
IFRI,Think Tank & Policy,https://www.ifri.org/en/recrutement,BROKEN,"404 — URL is wrong, needs replacing",
IISS,Think Tank & Policy,https://www.iiss.org/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
ISPI,Think Tank & Policy,https://www.ispionline.it/it/lavora-con-noi,WORKING,"fine, but JavaScript-rendered — use --browser",
RAND Europe,Think Tank & Policy,https://www.rand.org/jobs.html,WORKING,"403 to a script, but fine in a browser",
Real Instituto Elcano,Think Tank & Policy,https://www.realinstitutoelcano.org,WORKING,"fine, but JavaScript-rendered — use --browser",
SIPRI,Think Tank & Policy,https://www.sipri.org/about/vacancies,WORKING,"fine, but JavaScript-rendered — use --browser",
SWP - German Institute for International and Security Affairs,Think Tank & Policy,https://www.swp-berlin.org/en/jobs,BROKEN,"404 — URL is wrong, needs replacing",
Adyen,Big Tech & AI,https://careers.adyen.com,WORKING,"fine, but JavaScript-rendered — use --browser",
Aleph Alpha,Big Tech & AI,https://aleph-alpha.com/careers/,BROKEN,"404 — URL is wrong, needs replacing",
Amazon / AWS,Big Tech & AI,https://www.amazon.jobs,WORKING,"fine, but JavaScript-rendered — use --browser",
Anthropic,Big Tech & AI,https://www.anthropic.com/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Apple,Big Tech & AI,https://jobs.apple.com,WORKING,"fine, but JavaScript-rendered — use --browser",
Backbase,Big Tech & AI,https://backbase.com/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Bending Spoons,Big Tech & AI,https://jobs.bendingspoons.com,WORKING,"fine, but JavaScript-rendered — use --browser",
Black Forest Labs,Big Tech & AI,https://blackforestlabs.ai/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Booking.com,Big Tech & AI,https://careers.booking.com,WORKING,"fine, runs on icims (no connector yet)",
Databricks,Big Tech & AI,https://www.databricks.com/company/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Datadog,Big Tech & AI,https://careers.datadoghq.com,WORKING,"fine, but JavaScript-rendered — use --browser",
ElevenLabs,Big Tech & AI,https://elevenlabs.io/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Google / Alphabet,Big Tech & AI,https://www.google.com/about/careers/applications/,WORKING,"fine, but JavaScript-rendered — use --browser",
Google DeepMind,Big Tech & AI,https://deepmind.google/about/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Hugging Face,Big Tech & AI,https://apply.workable.com/huggingface/,WORKING,"fine, runs on workable (no connector yet)",
Klarna,Big Tech & AI,https://www.klarna.com/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Kyutai,Big Tech & AI,https://kyutai.org,WORKING,"fine, but JavaScript-rendered — use --browser",
Lovable,Big Tech & AI,https://lovable.dev/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Meta,Big Tech & AI,https://www.metacareers.com,WORKING,"fine, runs on workday (no connector yet)",
Microsoft,Big Tech & AI,https://careers.microsoft.com,WORKING,"fine, but JavaScript-rendered — use --browser",
Mistral AI,Big Tech & AI,https://jobs.lever.co/mistral,BROKEN,"404 — URL is wrong, needs replacing",
Mollie,Big Tech & AI,https://jobs.mollie.com,WORKING,"fine, but JavaScript-rendered — use --browser",
NVIDIA,Big Tech & AI,https://www.nvidia.com/en-us/about-nvidia/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Netflix,Big Tech & AI,https://jobs.netflix.com,WORKING,"fine, but JavaScript-rendered — use --browser",
OpenAI,Big Tech & AI,https://openai.com/careers/,WORKING,"403 to a script, but fine in a browser",
PhysicsX,Big Tech & AI,https://www.physicsx.ai/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Picnic,Big Tech & AI,https://jobs.picnic.app,WORKING,"fine, but JavaScript-rendered — use --browser",
Poolside,Big Tech & AI,https://poolside.ai/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Revolut,Big Tech & AI,https://www.revolut.com/careers/,WORKING,"403 to a script, but fine in a browser",
SAP,Big Tech & AI,https://jobs.sap.com,WORKING,"fine, runs on successfactors (no connector yet)",
Silo AI (AMD),Big Tech & AI,https://www.silo.ai/careers,SUSPECT,timed out,
Snowflake,Big Tech & AI,https://careers.snowflake.com,WORKING,"fine, but JavaScript-rendered — use --browser",
Spotify,Big Tech & AI,https://www.lifeatspotify.com,WORKING,"fine, but JavaScript-rendered — use --browser",
Stripe,Big Tech & AI,https://stripe.com/jobs,WORKING,"fine, but JavaScript-rendered — use --browser",
Synthesia,Big Tech & AI,https://www.synthesia.io/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Wayve,Big Tech & AI,https://wayve.ai/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Amprion,Energy & Infrastructure,https://www.amprion.net/Karriere/,BROKEN,"404 — URL is wrong, needs replacing",
Deutsche Telekom / T-Systems,Energy & Infrastructure,https://www.telekom.com/en/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
EDF,Energy & Infrastructure,https://www.edf.fr/en/careers,WORKING,"403 to a script, but fine in a browser",
Elia Group,Energy & Infrastructure,https://www.eliagroup.eu/en/jobs,WORKING,"403 to a script, but fine in a browser",
Enel,Energy & Infrastructure,https://www.enel.com/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Eni,Energy & Infrastructure,https://www.eni.com/en-IT/careers.html,WORKING,"fine, but JavaScript-rendered — use --browser",
Framatome,Energy & Infrastructure,https://www.framatome.com/en/careers/,BROKEN,"404 — URL is wrong, needs replacing",
Gasunie,Energy & Infrastructure,https://www.gasunie.nl/en/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Iberdrola,Energy & Infrastructure,https://www.iberdrola.com/careers,WORKING,"403 to a script, but fine in a browser",
KPN,Energy & Infrastructure,https://jobs.kpn.com,WORKING,"fine, but JavaScript-rendered — use --browser",
Orange,Energy & Infrastructure,https://orange.jobs,WORKING,"fine, but JavaScript-rendered — use --browser",
Orano,Energy & Infrastructure,https://www.orano.group/en/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Orsted,Energy & Infrastructure,https://orsted.com/en/careers,WORKING,"403 to a script, but fine in a browser",
Port of Rotterdam,Energy & Infrastructure,https://www.portofrotterdam.com/en/careers,BROKEN,"404 — URL is wrong, needs replacing",
Proximus,Energy & Infrastructure,https://www.proximus.com/jobs,WORKING,"fine, but JavaScript-rendered — use --browser",
RWE,Energy & Infrastructure,https://www.rwe.com/en/career/,WORKING,"fine, but JavaScript-rendered — use --browser",
Schiphol Group,Energy & Infrastructure,https://www.werkenbijschiphol.nl,WORKING,"fine, but JavaScript-rendered — use --browser",
Snam,Energy & Infrastructure,https://www.snam.it/it/carriere/,BROKEN,"404 — URL is wrong, needs replacing",
Sparkle,Energy & Infrastructure,https://www.tisparkle.com/careers,BROKEN,"404 — URL is wrong, needs replacing",
Telecom Italia (TIM),Energy & Infrastructure,https://www.gruppotim.it/it/lavora-con-noi.html,WORKING,"fine, but JavaScript-rendered — use --browser",
TenneT,Energy & Infrastructure,https://www.tennet.eu/careers,WORKING,"403 to a script, but fine in a browser",
Terna,Energy & Infrastructure,https://www.terna.it/it/carriere,WORKING,"fine, but JavaScript-rendered — use --browser",
Vattenfall,Energy & Infrastructure,https://careers.vattenfall.com,WORKING,"fine, but JavaScript-rendered — use --browser",
